AMO,PATRONNUEVO,0.5,13/04/2011,,,,,,,,,,
1,166310,500,,,,,,,campo a/m,M am2/kg,,,
HIS,925.9,0.1,258.68,-0.29,,0.279382222702236,,,736807.80908145,0.412295545727707,0.001593843921941,,
HIS,850.03,0.06,237.34,-0.28,,0.279213674811477,,,676432.381416465,0.378511267669211,0.001594806048998,,
HIS,748.39,0.06,208.35,-0.26,,0.278397626905758,,,595549.839333045,0.333251823595592,0.001599480794795,,
HIS,625.09,0.04,173.75,-0.19,,0.277959973763778,,0.285580595234938,497430.816911895,0.278347362219389,0.001601999207018,,
HIS,503.89,0.1,140.14,-0.36,,0.278116255531961,,0.015447873031979,400982.921393295,0.224378013324046,0.001601098996176,,
HIS,384.45,0.1,106.84,-0.17,,0.277903498504357,,,305935.589373975,0.171192377745995,0.001602324763628,,
HIS,273.13,0.18,76.55,-0.1,,0.280269468751144,,,217349.948044515,0.121622510427269,0.001588798307345,,
HIS,221.42,0.06,62.48,-0.11,,0.28217866498058,,,176200.43750601,0.098596478815238,0.001578048636608,,
HIS,172.85,0.16,49.12,-0.08,,0.284177032108765,,,137549.659574175,0.076968663007921,0.001566951608467,,
HIS,126.91,0.16,36.41,-0.07,,0.286896225671736,,,100991.769144105,0.056511964259967,0.001552100089535,,
HIS,83.64,0.16,24.43,-0.07,,0.29208512673362,,,66558.59720442,0.037244194237677,0.00152452698476,,
HIS,43.56,0.22,13.04,-0.07,,0.299357208448118,,,34663.94660718,0.01939690460298,0.001487492684278,,
HIS,28.42,0.04,8.78,-0.06,,0.308937368050668,,,22615.91741451,0.012655188907637,0.00144136547923,,
HIS,14.53,0.16,4.68,-0.07,,0.322092222986924,,,11562.606616215,0.006470087784235,0.001382497389794,,
HIS,8.68,0.04,2.96,-0.06,,0.341013824884793,,,6907.32453054,0.003865131587554,0.001305787698498,,magnetizacion dividida por peso????
HIS,-15,0.2,-4.11,-0.07,,0.274,,,-11936.6207325,-0.006679374863285,0.001625152034863,,
HIS,-29.82,0.06,-8.46,-0.06,,0.283702213279678,,,-23730.00201621,-0.013278597228211,0.00156957414045,,
HIS,-69.27,0.24,-20.08,-0.07,,0.289880179009672,,,-55123.314542685,-0.03084535311865,0.001536123163279,,
HIS,-112.24,0.22,-32.16,-0.08,,0.286528866714184,,,-89317.75406772,-0.049979535643674,0.001554090038671,,
HIS,-157.83,0.26,-44.8,-0.09,,0.283849711715136,,,-125597.123347365,-0.070280382311485,0.001568758533739,,
HIS,-206.23,0.3,-58.15,-0.14,,0.281966736168356,,,-164112.619577565,-0.091832498537018,0.001579234712588,,
